[2020-05-27T18:26:21-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-27T19:32:28-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-27T19:32:30-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-27T20:09:46-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-27T20:09:46-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-27T20:10:36-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-27T20:10:38-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-27T21:29:27-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-27T21:29:27-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-28T11:38:38-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-28T11:38:38-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-28T13:34:12-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-28T13:34:12-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-28T13:35:06-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-28T13:35:07-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-28T15:41:42-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-28T15:41:42-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-31T18:41:44-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 346d99e518; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-31T18:41:44-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 346d99e518; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-06-01T10:19:13-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 346d99e518; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-06-01T10:19:14-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 346d99e518; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-06-01T10:51:13-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 346d99e518; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-06-01T10:51:13-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 346d99e518; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
